"nome_cientifico","listavermelha","port443","inmma2014","port561","portmma_148_2022","volume","uf","ano"
vochysia mapuerae,,,,,VU,5.1,RO,2019.0
peltogyne paradoxa,,,,,VU,1795.473000000000002,RO,2019.0
peltogyne discolor,,,,,VU,739.410,MT,2016.0
mezilaurus itauba,VU,VU,,VU,VU,831.7740000000000053,AP,2020.0
hymenolobium excelsum,VU,VU,,VU,VU,7178.4263000000000015,RO,2020.0
eriotheca longipedicellata,,,,,VU,2688.9893,PA,2011.0
cedrela odorata,VU,VU,VU,VU,VU,7727.27000000000000218,AC,2007.0
mezilaurus itauba,VU,VU,,VU,VU,2.628,AC,2016.0
euplassa incana,VU,VU,,,,862.5201999999999976,PA,2020.0
hymenaea parvifolia,VU,VU,,VU,VU,130.2529999999999987,AC,2015.0
apuleia leiocarpa,VU,VU,,VU,VU,8968.3399999999999913,RO,2015.0
cedrela lilloi,EN,EN,VU,,,22.3017,PA,2016.0
mezilaurus itauba,VU,VU,,VU,VU,38985.147899999999998,PA,2013.0
peltogyne paradoxa,,,,,VU,4.0,AP,2009.0
mezilaurus itauba,VU,VU,,VU,VU,230.3248000000000017,AC,2015.0
apuleia leiocarpa,VU,VU,,VU,VU,29869.6233,PA,2015.0
cariniana legalis,EN,EN,,EN,EN,661.6550,PA,2010.0
buchenavia parvifolia,,VU,,,,2757.4374,MT,2016.0
mezilaurus itauba,VU,VU,,VU,VU,17110.9412000000000068,AM,2014.0
hymenolobium excelsum,VU,VU,,VU,VU,3498.0895000000000008,AM,2012.0
virola surinamensis,VU,VU,,VU,VU,12598.3141,PA,2010.0
mezilaurus itauba,VU,VU,,VU,VU,87.382,RR,2013.0
peltogyne paradoxa,,,,,VU,152.9950,PA,2008.0
vouacapoua americana,EN,EN,,EN,EN,128.963,RO,2016.0
eriotheca longipedicellata,,,,,VU,145.418,RO,2019.0
bertholletia excelsa,VU,VU,,VU,VU,6664.038999999999988,PA,2020.0
tabebuia cassinoides,EN,EN,,EN,VU,1401.9830,PA,2014.0
ocotea catharinensis,VU,VU,,,VU,1.1340000000000001,RO,2015.0
peltogyne maranhensis,VU,VU,,,VU,49.21,PA,2014.0
hymenaea parvifolia,VU,VU,,VU,VU,3.721,AC,2008.0
caesalpinia echinata,EN,EN,CR,,,14.22,AM,2009.0
cedrela odorata,VU,VU,VU,VU,VU,20423.5465000000000004,PA,2007.0
pilocarpus jaborandi,EN,EN,,EN,EN,4.70,PA,2013.0
buchenavia parvifolia,,VU,,,,1684.6337999999999997,PA,2019.0
mezilaurus itauba,VU,VU,,VU,VU,469.5067000000000033,AC,2011.0
ocotea fragrantissima,,,,,EN,51.9341,AM,2016.0
qualea magna,EN,EN,,,EN,392.063,MT,2007.0
qualea labouriauana,,,,,VU,125.9505,PA,2017.0
vouacapoua americana,EN,EN,,EN,EN,195.4798999999999986,AP,2011.0
hymenolobium excelsum,VU,VU,,VU,VU,6540.4008999999999837,AM,2018.0
peltogyne paradoxa,,,,,VU,35.553,AM,2016.0
centrolobium paraense,EN,EN,,EN,EN,234.9759999999999974,AC,2009.0
hymenolobium excelsum,VU,VU,,VU,VU,5564.0496000000000033,AM,2014.0
apuleia leiocarpa,VU,VU,,VU,VU,2453.7750000000000182,AC,2008.0
amburana acreana,VU,VU,,,VU,16649.0357,MT,2016.0
peltogyne paradoxa,,,,,VU,1306.4646,PA,2011.0
apuleia leiocarpa,VU,VU,,VU,VU,150212.0617,MT,2016.0
buchenavia parvifolia,,VU,,,,1742.9177,MT,2018.0
vouacapoua americana,EN,EN,,EN,EN,23866.2216999999999999,PA,2010.0
cedrela odorata,VU,VU,VU,VU,VU,9579.538400000000003,MT,2010.0
virola surinamensis,VU,VU,,VU,VU,7.659,AM,2014.0
xylopia brasiliensis,,,,,VU,586.7961,PA,2011.0
cedrela odorata,VU,VU,VU,VU,VU,11111.5512000000000269,RO,2018.0
amburana acreana,VU,VU,,,VU,11992.5634,MT,2006.0
mezilaurus itauba,VU,VU,,VU,VU,342.3988999999999982,AP,2014.0
